IP,Port,Protocol,Status,Service
192.168.1.60,353,TCP,Free,
192.168.1.60,378,TCP,Free,
192.168.1.60,386,TCP,Free,
192.168.1.60,400,TCP,Free,
192.168.1.60,379,TCP,Free,
192.168.1.60,361,TCP,Free,
192.168.1.60,363,TCP,Free,
192.168.1.60,372,TCP,Free,
192.168.1.60,376,TCP,Free,
192.168.1.60,390,TCP,Free,
192.168.1.60,383,TCP,Free,
192.168.1.60,356,TCP,Free,
192.168.1.60,380,TCP,Free,
192.168.1.60,377,TCP,Free,
192.168.1.60,375,TCP,Free,
192.168.1.60,360,TCP,Free,
192.168.1.60,357,TCP,Free,
192.168.1.60,370,TCP,Free,
192.168.1.60,362,TCP,Free,
192.168.1.60,373,TCP,Free,
192.168.1.60,392,TCP,Free,
192.168.1.60,388,TCP,Free,
192.168.1.60,398,TCP,Free,
192.168.1.60,394,TCP,Free,
192.168.1.60,365,TCP,Free,
192.168.1.60,359,TCP,Free,
192.168.1.60,355,TCP,Free,
192.168.1.60,385,TCP,Free,
192.168.1.60,352,TCP,Free,
192.168.1.60,399,TCP,Free,
192.168.1.60,381,TCP,Free,
192.168.1.60,384,TCP,Free,
192.168.1.60,393,TCP,Free,
192.168.1.60,387,TCP,Free,
192.168.1.60,369,TCP,Free,
192.168.1.60,396,TCP,Free,
192.168.1.60,364,TCP,Free,
192.168.1.60,371,TCP,Free,
192.168.1.60,395,TCP,Free,
192.168.1.60,354,TCP,Free,
192.168.1.60,366,TCP,Free,
192.168.1.60,391,TCP,Free,
192.168.1.60,397,TCP,Free,
192.168.1.60,382,TCP,Free,
192.168.1.60,374,TCP,Free,
192.168.1.60,389,TCP,Free,
192.168.1.60,367,TCP,Free,
192.168.1.60,401,TCP,Free,
192.168.1.60,413,TCP,Free,
192.168.1.60,405,TCP,Free,
192.168.1.60,421,TCP,Free,
192.168.1.60,428,TCP,Free,
192.168.1.60,430,TCP,Free,
192.168.1.60,425,TCP,Free,
192.168.1.60,403,TCP,Free,
192.168.1.60,402,TCP,Free,
192.168.1.60,426,TCP,Free,
192.168.1.60,415,TCP,Free,
192.168.1.60,406,TCP,Free,
192.168.1.60,411,TCP,Free,
192.168.1.60,404,TCP,Free,
192.168.1.60,433,TCP,Free,
192.168.1.60,412,TCP,Free,
192.168.1.60,431,TCP,Free,
192.168.1.60,414,TCP,Free,
192.168.1.60,446,TCP,Free,
192.168.1.60,435,TCP,Free,
192.168.1.60,429,TCP,Free,
192.168.1.60,447,TCP,Free,
192.168.1.60,437,TCP,Free,
192.168.1.60,436,TCP,Free,
192.168.1.60,448,TCP,Free,
192.168.1.60,418,TCP,Free,
192.168.1.60,424,TCP,Free,
192.168.1.60,441,TCP,Free,
192.168.1.60,442,TCP,Free,
192.168.1.60,449,TCP,Free,
192.168.1.60,419,TCP,Free,
192.168.1.60,416,TCP,Free,
192.168.1.60,438,TCP,Free,
192.168.1.60,439,TCP,Free,
192.168.1.60,408,TCP,Free,
192.168.1.60,434,TCP,Free,
192.168.1.60,422,TCP,Free,
192.168.1.60,427,TCP,Free,
192.168.1.60,445,TCP,Free,
192.168.1.60,420,TCP,Free,
192.168.1.60,432,TCP,Free,
192.168.1.60,450,TCP,Free,
192.168.1.60,409,TCP,Free,
192.168.1.60,407,TCP,Free,
192.168.1.60,444,TCP,Free,
192.168.1.60,417,TCP,Free,
192.168.1.60,440,TCP,Free,
192.168.1.60,410,TCP,Free,
192.168.1.60,443,TCP,Free,
192.168.1.60,423,TCP,Free,
192.168.1.60,451,TCP,Free,
192.168.1.60,457,TCP,Free,
192.168.1.60,467,TCP,Free,
192.168.1.60,490,TCP,Free,
192.168.1.60,468,TCP,Free,
192.168.1.60,456,TCP,Free,
192.168.1.60,473,TCP,Free,
192.168.1.60,493,TCP,Free,
192.168.1.60,480,TCP,Free,
192.168.1.60,472,TCP,Free,
192.168.1.60,470,TCP,Free,
192.168.1.60,465,TCP,Free,
192.168.1.60,471,TCP,Free,
192.168.1.60,474,TCP,Free,
192.168.1.60,475,TCP,Free,
192.168.1.60,454,TCP,Free,
192.168.1.60,478,TCP,Free,
192.168.1.60,489,TCP,Free,
192.168.1.60,458,TCP,Free,
192.168.1.60,483,TCP,Free,
192.168.1.60,463,TCP,Free,
192.168.1.60,469,TCP,Free,
192.168.1.60,452,TCP,Free,
192.168.1.60,479,TCP,Free,
192.168.1.60,460,TCP,Free,
192.168.1.60,500,TCP,Free,
192.168.1.60,466,TCP,Free,
192.168.1.60,484,TCP,Free,
192.168.1.60,482,TCP,Free,
192.168.1.60,496,TCP,Free,
192.168.1.60,499,TCP,Free,
192.168.1.60,498,TCP,Free,
192.168.1.60,453,TCP,Free,
192.168.1.60,494,TCP,Free,
192.168.1.60,455,TCP,Free,
192.168.1.60,461,TCP,Free,
192.168.1.60,477,TCP,Free,
192.168.1.60,462,TCP,Free,
192.168.1.60,459,TCP,Free,
192.168.1.60,488,TCP,Free,
192.168.1.60,476,TCP,Free,
192.168.1.60,464,TCP,Free,
192.168.1.60,486,TCP,Free,
192.168.1.60,497,TCP,Free,
192.168.1.60,487,TCP,Free,
192.168.1.60,492,TCP,Free,
192.168.1.60,495,TCP,Free,
192.168.1.60,491,TCP,Free,
192.168.1.60,481,TCP,Free,
192.168.1.60,485,TCP,Free,
192.168.1.60,501,TCP,Free,
192.168.1.60,514,TCP,Free,
192.168.1.60,502,TCP,Free,
192.168.1.60,525,TCP,Free,
192.168.1.60,507,TCP,Free,
192.168.1.60,549,TCP,Free,
192.168.1.60,519,TCP,Free,
192.168.1.60,547,TCP,Free,
192.168.1.60,513,TCP,Free,
192.168.1.60,539,TCP,Free,
192.168.1.60,543,TCP,Free,
192.168.1.60,534,TCP,Free,
192.168.1.60,521,TCP,Free,
192.168.1.60,511,TCP,Free,
192.168.1.60,503,TCP,Free,
192.168.1.60,540,TCP,Free,
192.168.1.60,546,TCP,Free,
192.168.1.60,536,TCP,Free,
192.168.1.60,517,TCP,Free,
192.168.1.60,523,TCP,Free,
192.168.1.60,506,TCP,Free,
192.168.1.60,535,TCP,Free,
192.168.1.60,524,TCP,Free,
192.168.1.60,528,TCP,Free,
192.168.1.60,533,TCP,Free,
192.168.1.60,510,TCP,Free,
192.168.1.60,545,TCP,Free,
192.168.1.60,541,TCP,Free,
192.168.1.60,505,TCP,Free,
192.168.1.60,532,TCP,Free,
192.168.1.60,544,TCP,Free,
192.168.1.60,522,TCP,Free,
192.168.1.60,515,TCP,Free,
192.168.1.60,548,TCP,Free,
192.168.1.60,508,TCP,Free,
192.168.1.60,531,TCP,Free,
192.168.1.60,520,TCP,Free,
192.168.1.60,526,TCP,Free,
192.168.1.60,538,TCP,Free,
192.168.1.60,537,TCP,Free,
192.168.1.60,516,TCP,Free,
192.168.1.60,512,TCP,Free,
192.168.1.60,518,TCP,Free,
192.168.1.60,529,TCP,Free,
192.168.1.60,530,TCP,Free,
192.168.1.60,542,TCP,Free,
192.168.1.60,509,TCP,Free,
192.168.1.60,527,TCP,Free,
192.168.1.60,504,TCP,Free,
192.168.1.60,550,TCP,Free,
192.168.1.60,551,TCP,Free,
192.168.1.60,559,TCP,Free,
192.168.1.60,583,TCP,Free,
192.168.1.60,568,TCP,Free,
192.168.1.60,569,TCP,Free,
192.168.1.60,557,TCP,Free,
192.168.1.60,600,TCP,Free,
192.168.1.60,556,TCP,Free,
192.168.1.60,560,TCP,Free,
192.168.1.60,593,TCP,Free,
192.168.1.60,553,TCP,Free,
192.168.1.60,592,TCP,Free,
192.168.1.60,598,TCP,Free,
192.168.1.60,590,TCP,Free,
192.168.1.60,584,TCP,Free,
192.168.1.60,596,TCP,Free,
192.168.1.60,573,TCP,Free,
192.168.1.60,588,TCP,Free,
192.168.1.60,558,TCP,Free,
192.168.1.60,572,TCP,Free,
192.168.1.60,570,TCP,Free,
192.168.1.60,561,TCP,Free,
192.168.1.60,562,TCP,Free,
192.168.1.60,582,TCP,Free,
192.168.1.60,574,TCP,Free,
192.168.1.60,571,TCP,Free,
192.168.1.60,563,TCP,Free,
192.168.1.60,595,TCP,Free,
192.168.1.60,579,TCP,Free,
192.168.1.60,552,TCP,Free,
192.168.1.60,586,TCP,Free,
192.168.1.60,580,TCP,Free,
192.168.1.60,555,TCP,Free,
192.168.1.60,597,TCP,Free,
192.168.1.60,589,TCP,Free,
192.168.1.60,587,TCP,Free,
192.168.1.60,575,TCP,Free,
192.168.1.60,591,TCP,Free,
192.168.1.60,581,TCP,Free,
192.168.1.60,594,TCP,Free,
192.168.1.60,576,TCP,Free,
192.168.1.60,554,TCP,Free,
192.168.1.60,599,TCP,Free,
192.168.1.60,567,TCP,Free,
192.168.1.60,585,TCP,Free,
192.168.1.60,564,TCP,Free,
192.168.1.60,578,TCP,Free,
192.168.1.60,566,TCP,Free,
192.168.1.60,577,TCP,Free,
192.168.1.60,565,TCP,Free,
192.168.1.60,601,TCP,Free,
192.168.1.60,614,TCP,Free,
192.168.1.60,627,TCP,Free,
192.168.1.60,615,TCP,Free,
192.168.1.60,636,TCP,Free,
192.168.1.60,624,TCP,Free,
